entry_time,entry_price,side,size,stop_loss,take_profit,exit_time,exit_price,exit_reason,status,pnl,pnl_pct,spread_cost,slippage_cost
2025-05-01 21:00:00,3225.34,BUY,10.0,3205.34,3285.34,2025-05-02 17:40:00,3235.9,Reverse Signal,CLOSED,100.09999999999945,0.310354877315258,0.5,0.05
2025-05-02 17:40:00,3237.04,SELL,10.0,3257.04,3177.04,2025-05-05 01:00:00,3239.63,Reverse Signal,CLOSED,-31.400000000001455,-0.09700219954032528,0.5,0.05
2025-05-05 01:00:00,3241.46,BUY,10.0,3221.46,3301.46,2025-05-05 11:25:00,3301.46,TP_HIT,CLOSED,594.5,1.8340500885403492,0.5,0.05
2025-05-07 00:45:00,3392.72,SELL,10.0,3412.72,3332.72,2025-05-07 15:35:00,3387.27,Reverse Signal,CLOSED,48.99999999999818,0.14442689051851668,0.5,0.05
2025-05-07 15:35:00,3391.78,BUY,10.0,3371.78,3451.78,2025-05-07 16:25:00,3384.44,Reverse Signal,CLOSED,-78.90000000000146,-0.23262121953664874,0.5,0.05
2025-05-07 16:25:00,3383.01,SELL,10.0,3403.01,3323.01,2025-05-08 03:00:00,3380.44,Reverse Signal,CLOSED,20.200000000001637,0.05971013978676279,0.5,0.05
2025-05-08 03:00:00,3393.57,BUY,10.0,3373.57,3453.57,2025-05-08 06:10:00,3396.0,Reverse Signal,CLOSED,18.799999999998363,0.05539888671811208,0.5,0.05
2025-05-08 06:10:00,3393.48,SELL,10.0,3413.48,3333.48,2025-05-08 08:30:00,3333.48,TP_HIT,CLOSED,594.5,1.751888916392612,0.5,0.05
2025-05-09 06:00:00,3314.37,BUY,10.0,3294.37,3374.37,2025-05-09 22:00:00,3328.7,Reverse Signal,CLOSED,137.79999999999927,0.4157652887275689,0.5,0.05
2025-05-09 22:00:00,3328.05,SELL,10.0,3348.05,3268.05,2025-05-12 00:45:00,3268.05,TP_HIT,CLOSED,594.5,1.7863313351662384,0.5,0.05
2025-05-13 02:00:00,3236.9,BUY,10.0,3216.9,3296.9,2025-05-13 03:40:00,3216.9,SL_HIT,CLOSED,-205.5,-0.6348666934412556,0.5,0.05
2025-05-13 03:40:00,3217.28,SELL,10.0,3237.28,3157.28,2025-05-13 04:40:00,3237.28,SL_HIT,CLOSED,-205.5,-0.6387383131092103,0.5,0.05
